Fecha,Mercado,Producto,Precio
30-12-09,B.Blanca,Girasol,239.47
04-01-10,B.Blanca,Girasol,239.6
05-01-10,B.Blanca,Girasol,242.17
06-01-10,B.Blanca,Girasol,241.47
07-01-10,B.Blanca,Girasol,243.74
08-01-10,B.Blanca,Girasol,243.81
11-01-10,B.Blanca,Girasol,244.07
12-01-10,B.Blanca,Girasol,240.12
13-01-10,B.Blanca,Girasol,237.82
14-01-10,B.Blanca,Girasol,237.03
15-01-10,B.Blanca,Girasol,235.98
18-01-10,B.Blanca,Girasol,235.59
19-01-10,B.Blanca,Girasol,235.46
20-01-10,B.Blanca,Girasol,235.28
21-01-10,B.Blanca,Girasol,235.03
22-01-10,B.Blanca,Girasol,229.84
25-01-10,B.Blanca,Girasol,235.16
26-01-10,B.Blanca,Girasol,234.66
27-01-10,B.Blanca,Girasol,234.66
28-01-10,B.Blanca,Girasol,233.05
29-01-10,B.Blanca,Girasol,232.07
01-02-10,B.Blanca,Girasol,232.01
02-02-10,B.Blanca,Girasol,232.25
03-02-10,B.Blanca,Girasol,232.13
04-02-10,B.Blanca,Girasol,229.11
05-02-10,B.Blanca,Girasol,229.17
08-02-10,B.Blanca,Girasol,229.11
09-02-10,B.Blanca,Girasol,230.29
10-02-10,B.Blanca,Girasol,232.65
11-02-10,B.Blanca,Girasol,233.77
12-02-10,B.Blanca,Girasol,234.82
15-02-10,B.Blanca,Girasol,235.75
16-02-10,B.Blanca,Girasol,238.53
17-02-10,B.Blanca,Girasol,241.44
18-02-10,B.Blanca,Girasol,241.58
19-02-10,B.Blanca,Girasol,241.58
22-02-10,B.Blanca,Girasol,241.26
23-02-10,B.Blanca,Girasol,243.52
24-02-10,B.Blanca,Girasol,240.93
25-02-10,B.Blanca,Girasol,241.0
26-02-10,B.Blanca,Girasol,241.0
01-03-10,B.Blanca,Girasol,241.12
02-03-10,B.Blanca,Girasol,241.25
03-03-10,B.Blanca,Girasol,241.25
04-03-10,B.Blanca,Girasol,241.18
05-03-10,B.Blanca,Girasol,241.0
08-03-10,B.Blanca,Girasol,241.0
09-03-10,B.Blanca,Girasol,239.51
